frameIndex,detectorType,descriptorType,TTC_Lidar,TTC_Camera,TTC_Diff
1,HARRIS,BRISK,12.5156,10.9082,1.60738
2,HARRIS,BRISK,12.6142,0.14226,12.472
3,HARRIS,BRISK,14.091,-10.295,24.386
4,HARRIS,BRISK,16.6894,12.4858,4.20361
5,HARRIS,BRISK,15.7465,-82.1295,97.876
6,HARRIS,BRISK,12.7835,12.9945,-0.210998
7,HARRIS,BRISK,11.9844,0.104503,11.8798
8,HARRIS,BRISK,13.1241,15.5436,-2.41953
9,HARRIS,BRISK,13.0241,nan,nan
10,HARRIS,BRISK,11.1746,nan,nan
11,HARRIS,BRISK,12.8086,11.8135,0.995099
12,HARRIS,BRISK,8.95978,11.6948,-2.73503
13,HARRIS,BRISK,9.96439,-23.331,33.2954
14,HARRIS,BRISK,9.59863,5.55228,4.04635
15,HARRIS,BRISK,8.52157,-12.3391,20.8607
16,HARRIS,BRISK,9.51552,5.53396,3.98156
17,HARRIS,BRISK,9.61241,12.6612,-3.04876
18,HARRIS,BRISK,8.3988,-inf,inf

1,SHITOMASI,BRISK,12.5156,17.0409,-4.52526
2,SHITOMASI,BRISK,12.6142,13.7086,-1.09436
3,SHITOMASI,BRISK,14.091,13.4082,0.68282
4,SHITOMASI,BRISK,16.6894,12.3378,4.35155
5,SHITOMASI,BRISK,15.7465,22.418,-6.67146
6,SHITOMASI,BRISK,12.7835,15.5633,-2.77984
7,SHITOMASI,BRISK,11.9844,12.7751,-0.790755
8,SHITOMASI,BRISK,13.1241,18.2975,-5.17335
9,SHITOMASI,BRISK,13.0241,10.9983,2.02579
10,SHITOMASI,BRISK,11.1746,14.8408,-3.66618
11,SHITOMASI,BRISK,12.8086,11.5668,1.24181
12,SHITOMASI,BRISK,8.95978,12.196,-3.23618
13,SHITOMASI,BRISK,9.96439,11.1144,-1.14996
14,SHITOMASI,BRISK,9.59863,10.0063,-0.407643
15,SHITOMASI,BRISK,8.52157,7.44764,1.07393
16,SHITOMASI,BRISK,9.51552,10.7587,-1.24316
17,SHITOMASI,BRISK,9.61241,9.73895,-0.126534
18,SHITOMASI,BRISK,8.3988,8.93355,-0.534751

1,FAST,BRISK,12.5156,11.6858,0.829762
2,FAST,BRISK,12.6142,11.5744,1.0398
3,FAST,BRISK,14.091,14.7473,-0.656327
4,FAST,BRISK,16.6894,13.995,2.69442
5,FAST,BRISK,15.7465,-inf,inf
6,FAST,BRISK,12.7835,14.6902,-1.90668
7,FAST,BRISK,11.9844,11.9258,0.0585629
8,FAST,BRISK,13.1241,10.9747,2.14938
9,FAST,BRISK,13.0241,13.5296,-0.505501
10,FAST,BRISK,11.1746,18.1771,-7.00241
11,FAST,BRISK,12.8086,13.8296,-1.02096
12,FAST,BRISK,8.95978,12.4665,-3.50669
13,FAST,BRISK,9.96439,11.208,-1.24361
14,FAST,BRISK,9.59863,11.2389,-1.64031
15,FAST,BRISK,8.52157,11.0367,-2.51513
16,FAST,BRISK,9.51552,13.4523,-3.93676
17,FAST,BRISK,9.61241,9.51805,0.0943655
18,FAST,BRISK,8.3988,11.3009,-2.90208

1,BRISK,BRISK,12.5156,12.1848,0.330799
2,BRISK,BRISK,12.6142,18.9662,-6.35196
3,BRISK,BRISK,14.091,9.07939,5.01163
4,BRISK,BRISK,16.6894,17.7783,-1.08895
5,BRISK,BRISK,15.7465,37.4914,-21.7448
6,BRISK,BRISK,12.7835,19.6499,-6.86637
7,BRISK,BRISK,11.9844,19.4941,-7.50979
8,BRISK,BRISK,13.1241,16.1173,-2.99317
9,BRISK,BRISK,13.0241,15.5255,-2.50139
10,BRISK,BRISK,11.1746,22.2177,-11.0431
11,BRISK,BRISK,12.8086,13.1341,-0.325528
12,BRISK,BRISK,8.95978,9.18449,-0.224707
13,BRISK,BRISK,9.96439,12.6067,-2.64236
14,BRISK,BRISK,9.59863,11.0447,-1.44603
15,BRISK,BRISK,8.52157,13.7014,-5.17985
16,BRISK,BRISK,9.51552,11.2372,-1.72167
17,BRISK,BRISK,9.61241,8.18205,1.43036
18,BRISK,BRISK,8.3988,9.1521,-0.7533

1,ORB,BRISK,12.5156,8.65948,3.85612
2,ORB,BRISK,12.6142,21.7982,-9.18399
3,ORB,BRISK,14.091,9.10397,4.98705
4,ORB,BRISK,14.091,9.10397,4.98705
5,ORB,BRISK,15.7465,-23.4066,39.1532
6,ORB,BRISK,15.7465,-23.4066,39.1532
7,ORB,BRISK,11.9844,15.9607,-3.97637
8,ORB,BRISK,13.1241,11.2326,1.89152
9,ORB,BRISK,13.0241,4.45754,8.56658
10,ORB,BRISK,11.1746,nan,nan
11,ORB,BRISK,12.8086,8.44625,4.36235
12,ORB,BRISK,8.95978,12.4904,-3.5306
13,ORB,BRISK,9.96439,6.95023,3.01416
14,ORB,BRISK,9.59863,4.26269,5.33594
15,ORB,BRISK,8.52157,5.81725,2.70432
16,ORB,BRISK,9.51552,7.42461,2.09091
17,ORB,BRISK,9.61241,23.6326,-14.0202
18,ORB,BRISK,8.3988,36.7403,-28.3415

1,AKAZE,BRISK,12.5156,11.5952,0.920397
2,AKAZE,BRISK,12.6142,18.8615,-6.24727
3,AKAZE,BRISK,14.091,13.3183,0.772717
4,AKAZE,BRISK,16.6894,15.1025,1.58693
5,AKAZE,BRISK,15.7465,16.2008,-0.454304
